本編	名詞,一般,*,*,*,*,本編,ホンペン,ホンペン
長官	名詞,一般,*,*,*,*,長官,チョウカン,チョーカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
モルガン・ランズディール	名詞,一般,*,*,*,*,*
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
陰謀	名詞,一般,*,*,*,*,陰謀,インボウ,インボー
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
事	名詞,非自立,一般,*,*,*,事,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
知る	動詞,自立,*,*,五段・ラ行,基本形,知る,シル,シル
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
直後	名詞,副詞可能,*,*,*,*,直後,チョクゴ,チョクゴ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
口	名詞,一般,*,*,*,*,口,クチ,クチ
封じ	名詞,一般,*,*,*,*,封じ,フウジ,フージ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
モルガン	名詞,固有名詞,人名,姓,*,*,モルガン,モルガン,モルガン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
嗾	名詞,一般,*,*,*,*,*
けた	名詞,接尾,助数詞,*,*,*,けた,ケタ,ケタ
FBC	名詞,固有名詞,組織,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
戦闘	名詞,サ変接続,*,*,*,*,戦闘,セントウ,セントー
機	名詞,接尾,一般,*,*,*,機,キ,キ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
爆撃	名詞,サ変接続,*,*,*,*,爆撃,バクゲキ,バクゲキ
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
、	記号,読点,*,*,*,*,、,、,、
クエント	名詞,一般,*,*,*,*,*
共	名詞,接尾,一般,*,*,*,共,ドモ,ドモ
々	記号,一般,*,*,*,*,々,々,々
消息	名詞,一般,*,*,*,*,消息,ショウソク,ショーソク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
断つ	動詞,自立,*,*,五段・タ行,基本形,断つ,タツ,タツ
。	記号,句点,*,*,*,*,。,。,。
しかし	接続詞,*,*,*,*,*,しかし,シカシ,シカシ
、	記号,読点,*,*,*,*,、,、,、
エンディング	名詞,一般,*,*,*,*,エンディング,エンディング,エンディング
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
奇跡	名詞,一般,*,*,*,*,奇跡,キセキ,キセキ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
生還	名詞,サ変接続,*,*,*,*,生還,セイカン,セイカン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
事	名詞,非自立,一般,*,*,*,事,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
判明	名詞,サ変接続,*,*,*,*,判明,ハンメイ,ハンメイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
EOS
事件	名詞,一般,*,*,*,*,事件,ジケン,ジケン
解決	名詞,サ変接続,*,*,*,*,解決,カイケツ,カイケツ
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
作戦	名詞,一般,*,*,*,*,作戦,サクセン,サクセン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
功績	名詞,一般,*,*,*,*,功績,コウセキ,コーセキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
認め	動詞,自立,*,*,一段,未然形,認める,ミトメ,ミトメ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
東部	名詞,一般,*,*,*,*,東部,トウブ,トーブ
アフリカ	名詞,固有名詞,地域,一般,*,*,アフリカ,アフリカ,アフリカ
支部	名詞,一般,*,*,*,*,支部,シブ,シブ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
異動	名詞,サ変接続,*,*,*,*,異動,イドウ,イドー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
EOS
クエント・ケッチャム	名詞,一般,*,*,*,*,*
(	名詞,サ変接続,*,*,*,*,*
Quint	名詞,一般,*,*,*,*,*
Cetcham	名詞,一般,*,*,*,*,*
)	名詞,サ変接続,*,*,*,*,*
EOS
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ
吹き替え	名詞,一般,*,*,*,*,吹き替え,フキカエ,フキカエ
:	名詞,サ変接続,*,*,*,*,*
坂東	名詞,固有名詞,人名,姓,*,*,坂東,バンドウ,バンドー
尚樹	名詞,固有名詞,人名,名,*,*,尚樹,ナオキ,ナオキ
EOS
BSAA	名詞,固有名詞,組織,*,*,*,*
本部	名詞,一般,*,*,*,*,本部,ホンブ,ホンブ
技術	名詞,一般,*,*,*,*,技術,ギジュツ,ギジュツ
班	名詞,一般,*,*,*,*,班,ハン,ハン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
所属	名詞,サ変接続,*,*,*,*,所属,ショゾク,ショゾク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
指折り	名詞,一般,*,*,*,*,指折り,ユビオリ,ユビオリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
メカニック	名詞,一般,*,*,*,*,メカニック,メカニック,メカニック
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
知ら	動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
エージェント	名詞,一般,*,*,*,*,エージェント,エージェント,エージェント
。	記号,句点,*,*,*,*,。,。,。
EOS
機械	名詞,一般,*,*,*,*,機械,キカイ,キカイ
知識	名詞,一般,*,*,*,*,知識,チシキ,チシキ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
生物	名詞,一般,*,*,*,*,生物,セイブツ,セイブツ
工学	名詞,一般,*,*,*,*,工学,コウガク,コーガク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
精通	名詞,サ変接続,*,*,*,*,精通,セイツウ,セイツー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おり	動詞,非自立,*,*,五段・ラ行,連用形,おる,オリ,オリ
、	記号,読点,*,*,*,*,、,、,、
バイオ	名詞,一般,*,*,*,*,バイオ,バイオ,バイオ
スキャナー	名詞,一般,*,*,*,*,スキャナー,スキャナー,スキャナー
・	記号,一般,*,*,*,*,・,・,・
通称	名詞,一般,*,*,*,*,通称,ツウショウ,ツーショー
「	記号,括弧開,*,*,*,*,「,「,「
ジェネシス	名詞,固有名詞,一般,*,*,*,*
」	記号,括弧閉,*,*,*,*,」,」,」
の	助詞,連体化,*,*,*,*,の,ノ,ノ
開発	名詞,サ変接続,*,*,*,*,開発,カイハツ,カイハツ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
も	助詞,係助詞,*,*,*,*,も,モ,モ
携わる	動詞,自立,*,*,五段・ラ行,基本形,携わる,タズサワル,タズサワル
。	記号,句点,*,*,*,*,。,。,。
いわゆる	連体詞,*,*,*,*,*,いわゆる,イワユル,イワユル
オタク	名詞,一般,*,*,*,*,オタク,オタク,オタク
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
性格	名詞,一般,*,*,*,*,性格,セイカク,セイカク
で	助詞,格助詞,一般,*,*,*,で,デ,デ
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ
映画	名詞,一般,*,*,*,*,映画,エイガ,エイガ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
例える	動詞,自立,*,*,一段,基本形,例える,タトエル,タトエル
癖	名詞,一般,*,*,*,*,癖,クセ,クセ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
他	名詞,非自立,副詞可能,*,*,*,他,ホカ,ホカ
、	記号,読点,*,*,*,*,、,、,、
やや	副詞,一般,*,*,*,*,やや,ヤヤ,ヤヤ
女性	名詞,一般,*,*,*,*,女性,ジョセイ,ジョセイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
奥手	名詞,一般,*,*,*,*,奥手,オクテ,オクテ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
、	記号,読点,*,*,*,*,、,、,、
ジェシカ	名詞,固有名詞,人名,名,*,*,ジェシカ,ジェシカ,ジェシカ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
好意	名詞,一般,*,*,*,*,好意,コウイ,コーイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
抱い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,抱く,ダイ,ダイ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
彼女	名詞,代名詞,一般,*,*,*,彼女,カノジョ,カノジョ
に対して	助詞,格助詞,連語,*,*,*,に対して,ニタイシテ,ニタイシテ
ストーカー	名詞,固有名詞,一般,*,*,*,*
紛い	名詞,一般,*,*,*,*,紛い,マガイ,マガイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
尾行	名詞,サ変接続,*,*,*,*,尾行,ビコウ,ビコー
活動	名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー
も	助詞,係助詞,*,*,*,*,も,モ,モ
行なっ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,行なう,オコナッ,オコナッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
キース	名詞,固有名詞,人名,姓,*,*,キース,キース,キース
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
事	名詞,非自立,一般,*,*,*,事,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
含め	動詞,自立,*,*,一段,連用形,含める,フクメ,フクメ
度々	副詞,助詞類接続,*,*,*,*,度々,タビタビ,タビタビ
からかわ	動詞,自立,*,*,五段・ワ行促音便,未然形,からかう,カラカワ,カラカワ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
も	助詞,係助詞,*,*,*,*,も,モ,モ
仲	名詞,一般,*,*,*,*,仲,ナカ,ナカ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
良く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,良い,ヨク,ヨク
、	記号,読点,*,*,*,*,、,、,、
公私	名詞,一般,*,*,*,*,公私,コウシ,コーシ
共	名詞,接尾,一般,*,*,*,共,ドモ,ドモ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
互い	名詞,一般,*,*,*,*,互い,タガイ,タガイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
欠点	名詞,一般,*,*,*,*,欠点,ケッテン,ケッテン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
補い合う	動詞,自立,*,*,五段・ワ行促音便,基本形,補い合う,オギナイアウ,オギナイアウ
非常	名詞,形容動詞語幹,*,*,*,*,非常,ヒジョウ,ヒジョー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
優秀	名詞,形容動詞語幹,*,*,*,*,優秀,ユウシュウ,ユーシュー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
バディ	名詞,一般,*,*,*,*,バディ,バディ,バディ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ
、	記号,読点,*,*,*,*,、,、,、
自身	名詞,一般,*,*,*,*,自身,ジシン,ジシン
も	助詞,係助詞,*,*,*,*,も,モ,モ
性格	名詞,一般,*,*,*,*,性格,セイカク,セイカク
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
言動	名詞,一般,*,*,*,*,言動,ゲンドウ,ゲンドー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
裏腹	名詞,形容動詞語幹,*,*,*,*,裏腹,ウラハラ,ウラハラ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
兵士	名詞,一般,*,*,*,*,兵士,ヘイシ,ヘイシ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実力	名詞,一般,*,*,*,*,実力,ジツリョク,ジツリョク
も	助詞,係助詞,*,*,*,*,も,モ,モ
それなり	名詞,一般,*,*,*,*,それなり,ソレナリ,ソレナリ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
高い	形容詞,自立,*,*,形容詞・アウオ段,基本形,高い,タカイ,タカイ
。	記号,句点,*,*,*,*,。,。,。
また	接続詞,*,*,*,*,*,また,マタ,マタ
、	記号,読点,*,*,*,*,、,、,、
コードネーム	名詞,一般,*,*,*,*,コードネーム,コードネーム,コードネーム
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
「	記号,括弧開,*,*,*,*,「,「,「
ジャッカス	名詞,固有名詞,一般,*,*,*,*
」	記号,括弧閉,*,*,*,*,」,」,」
。	記号,句点,*,*,*,*,。,。,。
EOS
キース	名詞,固有名詞,人名,姓,*,*,キース,キース,キース
と共に	助詞,格助詞,連語,*,*,*,と共に,トトモニ,トトモニ
ヴェルトロ	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
アジト	名詞,一般,*,*,*,*,アジト,アジト,アジト
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
空港	名詞,一般,*,*,*,*,空港,クウコウ,クーコー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
調査	名詞,サ変接続,*,*,*,*,調査,チョウサ,チョーサ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
出向く	動詞,自立,*,*,五段・カ行イ音便,基本形,出向く,デムク,デムク
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
残さ	動詞,自立,*,*,五段・サ行,未然形,残す,ノコサ,ノコサ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
映像	名詞,一般,*,*,*,*,映像,エイゾウ,エイゾー
記録	名詞,サ変接続,*,*,*,*,記録,キロク,キロク
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
一連	名詞,一般,*,*,*,*,一連,イチレン,イチレン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
事件	名詞,一般,*,*,*,*,事件,ジケン,ジケン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
裏	名詞,一般,*,*,*,*,裏,ウラ,ウラ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
潜む	動詞,自立,*,*,五段・マ行,基本形,潜む,ヒソム,ヒソム
黒幕	名詞,一般,*,*,*,*,黒幕,クロマク,クロマク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
正体	名詞,一般,*,*,*,*,正体,ショウタイ,ショータイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
冷静	名詞,形容動詞語幹,*,*,*,*,冷静,レイセイ,レイセイ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
暴い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,暴く,アバイ,アバイ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いく	動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク
。	記号,句点,*,*,*,*,。,。,。
しかし	接続詞,*,*,*,*,*,しかし,シカシ,シカシ
、	記号,読点,*,*,*,*,、,、,、
真相	名詞,一般,*,*,*,*,真相,シンソウ,シンソー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
辿り	動詞,自立,*,*,五段・ラ行,連用形,辿る,タドリ,タドリ
着こ	動詞,自立,*,*,五段・カ行イ音便,未然ウ接続,着く,ツコ,ツコ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
矢先	名詞,非自立,副詞可能,*,*,*,矢先,ヤサキ,ヤサキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
黒幕	名詞,一般,*,*,*,*,黒幕,クロマク,クロマク
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
モルガン	名詞,固有名詞,人名,姓,*,*,モルガン,モルガン,モルガン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
差金	名詞,一般,*,*,*,*,差金,サシガネ,サシガネ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
空港	名詞,一般,*,*,*,*,空港,クウコウ,クーコー
諸共	名詞,副詞可能,*,*,*,*,諸共,モロトモ,モロトモ
爆撃	名詞,サ変接続,*,*,*,*,爆撃,バクゲキ,バクゲキ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
、	記号,読点,*,*,*,*,、,、,、
生死	名詞,一般,*,*,*,*,生死,セイシ,セイシ
不明	名詞,形容動詞語幹,*,*,*,*,不明,フメイ,フメイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
エンディング	名詞,一般,*,*,*,*,エンディング,エンディング,エンディング
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
キース	名詞,固有名詞,人名,姓,*,*,キース,キース,キース
同様	名詞,形容動詞語幹,*,*,*,*,同様,ドウヨウ,ドーヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ
生還	名詞,サ変接続,*,*,*,*,生還,セイカン,セイカン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
事	名詞,非自立,一般,*,*,*,事,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
判明	名詞,サ変接続,*,*,*,*,判明,ハンメイ,ハンメイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
EOS
事件	名詞,一般,*,*,*,*,事件,ジケン,ジケン
解決	名詞,サ変接続,*,*,*,*,解決,カイケツ,カイケツ
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
昇進	名詞,サ変接続,*,*,*,*,昇進,ショウシン,ショーシン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
話	名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
何	名詞,数,*,*,*,*,何,ナン,ナン
度	名詞,接尾,助数詞,*,*,*,度,ド,ド
も	助詞,係助詞,*,*,*,*,も,モ,モ
拒み	動詞,自立,*,*,五段・マ行,連用形,拒む,コバミ,コバミ
、	記号,読点,*,*,*,*,、,、,、
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
通り	名詞,一般,*,*,*,*,通り,トオリ,トーリ
本部	名詞,一般,*,*,*,*,本部,ホンブ,ホンブ
技術	名詞,一般,*,*,*,*,技術,ギジュツ,ギジュツ
班	名詞,一般,*,*,*,*,班,ハン,ハン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
残っ	動詞,自立,*,*,五段・ラ行,連用タ接続,残る,ノコッ,ノコッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
EOS
ク	名詞,一般,*,*,*,*,*
ライヴ	名詞,一般,*,*,*,*,ライヴ,ライヴ,ライブ
・	記号,一般,*,*,*,*,・,・,・
R	名詞,固有名詞,組織,*,*,*,*
・	記号,一般,*,*,*,*,・,・,・
オブライエン	名詞,一般,*,*,*,*,*
(	名詞,サ変接続,*,*,*,*,*
Clive	名詞,一般,*,*,*,*,*
R	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
O	名詞,一般,*,*,*,*,*
'	名詞,サ変接続,*,*,*,*,*
brian	名詞,一般,*,*,*,*,*
)	名詞,サ変接続,*,*,*,*,*
EOS
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ
吹き替え	名詞,一般,*,*,*,*,吹き替え,フキカエ,フキカエ
:	名詞,サ変接続,*,*,*,*,*
石塚	名詞,固有名詞,人名,姓,*,*,石塚,イシヅカ,イシズカ
運	名詞,固有名詞,人名,名,*,*,運,ハコブ,ハコブ
昇	名詞,固有名詞,地域,一般,*,*,昇,ノボリ,ノボリ
/	名詞,サ変接続,*,*,*,*,*
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
版	名詞,接尾,一般,*,*,*,版,バン,バン
:	名詞,サ変接続,*,*,*,*,*
Paul	名詞,一般,*,*,*,*,*
Eiding	名詞,固有名詞,組織,*,*,*,*
EOS
『	記号,括弧開,*,*,*,*,『,『,『
RV	名詞,固有名詞,組織,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
登場	名詞,サ変接続,*,*,*,*,登場,トウジョウ,トージョー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
2005	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
当時	名詞,副詞可能,*,*,*,*,当時,トウジ,トージ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
BSAA	名詞,一般,*,*,*,*,*
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
。	記号,句点,*,*,*,*,。,。,。
EOS
やや	副詞,一般,*,*,*,*,やや,ヤヤ,ヤヤ
飄々	名詞,一般,*,*,*,*,飄々,ヒョウヒョウ,ヒョーヒョー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
態度	名詞,一般,*,*,*,*,態度,タイド,タイド
で	助詞,格助詞,一般,*,*,*,で,デ,デ
劇	名詞,一般,*,*,*,*,劇,ゲキ,ゲキ
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ
何	名詞,数,*,*,*,*,何,ナン,ナン
度	名詞,接尾,助数詞,*,*,*,度,ド,ド
も	助詞,係助詞,*,*,*,*,も,モ,モ
不可解	名詞,形容動詞語幹,*,*,*,*,不可解,フカカイ,フカカイ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
言動	名詞,一般,*,*,*,*,言動,ゲンドウ,ゲンドー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
とる	動詞,自立,*,*,五段・ラ行,基本形,とる,トル,トル
事	名詞,非自立,一般,*,*,*,事,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
指揮	名詞,サ変接続,*,*,*,*,指揮,シキ,シキ
官	名詞,接尾,一般,*,*,*,官,カン,カン
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
腕	名詞,一般,*,*,*,*,腕,ウデ,ウデ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
確か	名詞,形容動詞語幹,*,*,*,*,確か,タシカ,タシカ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
正義	名詞,一般,*,*,*,*,正義,セイギ,セイギ
感	名詞,接尾,一般,*,*,*,感,カン,カン
も	助詞,係助詞,*,*,*,*,も,モ,モ
強い	形容詞,自立,*,*,形容詞・アウオ段,基本形,強い,ツヨイ,ツヨイ
。	記号,句点,*,*,*,*,。,。,。
また	接続詞,*,*,*,*,*,また,マタ,マタ
、	記号,読点,*,*,*,*,、,、,、
コードネーム	名詞,一般,*,*,*,*,コードネーム,コードネーム,コードネーム
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
「	記号,括弧開,*,*,*,*,「,「,「
フォークボール	名詞,一般,*,*,*,*,フォークボール,フォークボール,フォークボール
」	記号,括弧閉,*,*,*,*,」,」,」
。	記号,句点,*,*,*,*,。,。,。
EOS
テラグリジア・パニック	名詞,一般,*,*,*,*,*
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
オブザーバー	名詞,一般,*,*,*,*,オブザーバー,オブザーバー,オブザーバー
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
参加	名詞,サ変接続,*,*,*,*,参加,サンカ,サンカ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
際	名詞,非自立,副詞可能,*,*,*,際,サイ,サイ
、	記号,読点,*,*,*,*,、,、,、
強硬	名詞,形容動詞語幹,*,*,*,*,強硬,キョウコウ,キョーコー
手段	名詞,一般,*,*,*,*,手段,シュダン,シュダン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
事件	名詞,一般,*,*,*,*,事件,ジケン,ジケン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
解決	名詞,サ変接続,*,*,*,*,解決,カイケツ,カイケツ
しよ	動詞,自立,*,*,サ変・スル,未然ウ接続,する,シヨ,シヨ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
